molecule,intervention_applied,standard_converged_no_intervention,standard_iterations_no_intervention,standard_wall_clock_seconds,standard_wall_clock_source,standard_energy,standard_spin_square,standard_raw_output,ml_guided_converged_with_intervention,ml_guided_iterations_with_intervention,ml_guided_wall_clock_seconds,ml_guided_wall_clock_source,ml_guided_energy,ml_guided_spin_square,ml_guided_raw_output,outcome_vs_no_intervention,harmed_by_intervention,rescued_by_intervention,delta_iterations_ml_minus_standard,relative_iteration_change_percent,delta_wall_clock_seconds_ml_minus_standard,relative_wall_clock_change_percent,false_positive_iteration_cost,false_positive_wall_clock_cost_seconds,ml_restart_triggered,ml_restart_count,ml_max_beta_shift,ml_disabled_after_max_restarts,ml_disabled_after_restart_count
dsgdb9nsd_000036,True,True,111,7.51,total_processing_time_footer,-207.8642883049,0.753834,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000036.txt,True,69,4.18,total_processing_time_footer,-207.9465506362,0.750153,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000036.txt,accelerated_standard_success,False,False,-42,-37.84,-3.33,-44.34,0,0.0,True,4,0.4,False,
dsgdb9nsd_003488,True,True,50,7.73,total_processing_time_footer,-342.3920938227,0.750098,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_003488.txt,True,25,4.08,total_processing_time_footer,-342.3920919146,0.750098,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_003488.txt,accelerated_standard_success,False,False,-25,-50.0,-3.65,-47.22,0,0.0,False,0,0.0,False,
dsgdb9nsd_003677,True,True,390,47.8,total_processing_time_footer,-302.8218069637,0.75266,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_003677.txt,True,443,37.63,total_processing_time_footer,-302.8353252628,0.75015,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_003677.txt,slower_than_standard_success,False,False,53,13.59,-10.17,-21.28,53,0.0,True,10,1.0,True,10
dsgdb9nsd_000222,True,True,89,10.82,total_processing_time_footer,-268.7472450639,0.750185,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000222.txt,True,33,4.93,total_processing_time_footer,-268.7698236566,0.750248,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000222.txt,accelerated_standard_success,False,False,-56,-62.92,-5.89,-54.44,0,0.0,True,1,0.1,False,
dsgdb9nsd_027886,True,True,31,5.94,total_processing_time_footer,-419.4554374553,0.750701,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_027886.txt,True,332,36.19,total_processing_time_footer,-419.4554378741,0.751348,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_027886.txt,slower_than_standard_success,False,False,301,970.97,30.25,509.26,301,30.25,True,10,1.0,True,10
dsgdb9nsd_108858,True,True,296,79.92,total_processing_time_footer,-350.0970788281,0.750473,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_108858.txt,True,77,14.12,total_processing_time_footer,-350.1068955519,0.750348,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_108858.txt,accelerated_standard_success,False,False,-219,-73.99,-65.8,-82.33,0,0.0,True,4,0.4,False,
dsgdb9nsd_000141,True,True,238,18.31,total_processing_time_footer,-228.446924789,0.762463,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000141.txt,True,129,6.92,total_processing_time_footer,-228.5107936564,0.750234,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000141.txt,accelerated_standard_success,False,False,-109,-45.8,-11.39,-62.21,0,0.0,True,8,0.8,False,
dsgdb9nsd_036381,True,True,37,6.82,total_processing_time_footer,-346.4545382471,0.750185,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_036381.txt,True,162,18.91,total_processing_time_footer,-346.4545400868,0.750202,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_036381.txt,slower_than_standard_success,False,False,125,337.84,12.09,177.27,125,12.09,True,10,1.0,True,10
dsgdb9nsd_000425,True,True,692,70.04,total_processing_time_footer,-284.8129492209,0.750167,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000425.txt,True,152,11.79,total_processing_time_footer,-284.8267592667,0.750253,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000425.txt,accelerated_standard_success,False,False,-540,-78.03,-58.25,-83.17,0,0.0,True,10,1.0,True,10
dsgdb9nsd_019831,True,True,352,60.84,total_processing_time_footer,-308.657343265,0.750282,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_019831.txt,True,93,12.75,total_processing_time_footer,-308.6658436392,0.750243,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_019831.txt,accelerated_standard_success,False,False,-259,-73.58,-48.09,-79.04,0,0.0,True,5,0.5,False,
dsgdb9nsd_044920,True,True,50,8.79,total_processing_time_footer,-451.3848567365,0.750152,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_044920.txt,True,99,12.82,total_processing_time_footer,-451.3848810647,0.750172,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_044920.txt,slower_than_standard_success,False,False,49,98.0,4.03,45.85,49,4.03,False,0,0.0,False,
dsgdb9nsd_000019,True,True,219,13.88,total_processing_time_footer,-207.92944623,0.750183,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000019.txt,True,159,10.16,total_processing_time_footer,-207.9646272962,0.750231,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000019.txt,accelerated_standard_success,False,False,-60,-27.4,-3.72,-26.8,0,0.0,True,10,1.0,True,10
dsgdb9nsd_074773,True,True,823,180.13,total_processing_time_footer,-383.4791522744,0.944703,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_074773.txt,False,2189,251.0,job_start_to_termination_timestamp,-383.524561194,0.756888,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_074773.txt,harmed_standard_success,True,False,1366,165.98,70.87,39.34,1366,70.87,True,10,1.0,True,10
dsgdb9nsd_000541,True,True,452,45.6,total_processing_time_footer,-321.7481964588,0.751022,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000541.txt,True,96,6.81,total_processing_time_footer,-321.8096961207,0.750271,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000541.txt,accelerated_standard_success,False,False,-356,-78.76,-38.79,-85.07,0,0.0,True,5,0.5,False,
dsgdb9nsd_017799,True,True,47,9.5,total_processing_time_footer,-382.6362192462,0.750199,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_017799.txt,True,67,11.99,total_processing_time_footer,-382.636223785,0.750204,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_017799.txt,slower_than_standard_success,False,False,20,42.55,2.49,26.21,20,2.49,False,0,0.0,False,
dsgdb9nsd_000420,True,True,776,84.64,total_processing_time_footer,-284.7283055543,0.76544,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000420.txt,True,155,11.5,total_processing_time_footer,-284.8315238774,0.750204,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000420.txt,accelerated_standard_success,False,False,-621,-80.03,-73.14,-86.41,0,0.0,True,10,1.0,True,10
dsgdb9nsd_008718,True,True,39,4.34,total_processing_time_footer,-377.8307682442,0.816163,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_008718.txt,True,104,9.52,total_processing_time_footer,-377.8307682936,0.81582,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_008718.txt,slower_than_standard_success,False,False,65,166.67,5.18,119.35,65,5.18,True,2,0.2,False,
dsgdb9nsd_002816,True,True,102,11.0,total_processing_time_footer,-336.259836034,0.793986,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_002816.txt,True,110,9.4,total_processing_time_footer,-336.3041716846,0.750189,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_002816.txt,slower_than_standard_success,False,False,8,7.84,-1.6,-14.55,8,0.0,True,6,0.6,False,
dsgdb9nsd_014734,True,True,126,21.81,total_processing_time_footer,-364.0339527301,0.750523,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_014734.txt,True,65,9.51,total_processing_time_footer,-364.0339491574,0.7511,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_014734.txt,accelerated_standard_success,False,False,-61,-48.41,-12.3,-56.4,0,0.0,True,2,0.2,False,
dsgdb9nsd_003664,True,True,742,77.03,total_processing_time_footer,-338.635215474,0.755531,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_003664.txt,False,2111,170.0,job_start_to_termination_timestamp,-338.606676061,0.846537,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_003664.txt,harmed_standard_success,True,False,1369,184.5,92.97,120.69,1369,92.97,True,10,1.0,True,10
dsgdb9nsd_000120,True,True,32,3.06,total_processing_time_footer,-246.9059533756,0.756144,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000120.txt,True,37,3.06,total_processing_time_footer,-246.9351069943,0.750252,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000120.txt,slower_than_standard_success,False,False,5,15.62,0.0,0.0,5,0.0,True,1,0.1,False,
dsgdb9nsd_005676,True,True,44,5.23,total_processing_time_footer,-411.1142509039,0.939186,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_005676.txt,True,38,4.02,total_processing_time_footer,-411.1500358333,0.788955,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_005676.txt,accelerated_standard_success,False,False,-6,-13.64,-1.21,-23.14,0,0.0,True,1,0.1,False,
dsgdb9nsd_003944,True,True,32,4.21,total_processing_time_footer,-390.4286678888,0.811872,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_003944.txt,True,38,4.16,total_processing_time_footer,-390.4286681904,0.81187,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_003944.txt,slower_than_standard_success,False,False,6,18.75,-0.05,-1.19,6,0.0,False,0,0.0,False,
dsgdb9nsd_017925,True,True,49,10.88,total_processing_time_footer,-309.8100444767,0.750116,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_017925.txt,True,60,11.31,total_processing_time_footer,-309.8100460826,0.750116,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_017925.txt,slower_than_standard_success,False,False,11,22.45,0.43,3.95,11,0.43,False,0,0.0,False,
dsgdb9nsd_018801,True,True,420,68.76,total_processing_time_footer,-340.5837479152,0.756889,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_018801.txt,True,613,54.71,total_processing_time_footer,-340.5837508352,0.756906,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_018801.txt,slower_than_standard_success,False,False,193,45.95,-14.05,-20.43,193,0.0,True,10,1.0,True,10
dsgdb9nsd_000109,True,True,147,9.58,total_processing_time_footer,-223.5420067651,0.806656,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000109.txt,True,156,8.73,total_processing_time_footer,-223.6028929666,0.750752,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000109.txt,slower_than_standard_success,False,False,9,6.12,-0.85,-8.87,9,0.0,True,8,0.8,False,
dsgdb9nsd_000653,True,True,48,6.37,total_processing_time_footer,-268.7238869192,0.750158,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000653.txt,True,32,5.55,total_processing_time_footer,-268.7238863366,0.750158,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000653.txt,accelerated_standard_success,False,False,-16,-33.33,-0.82,-12.87,0,0.0,False,0,0.0,False,
dsgdb9nsd_000647,True,True,101,11.26,total_processing_time_footer,-267.5087659051,0.757531,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000647.txt,True,229,17.48,total_processing_time_footer,-267.5087690327,0.757529,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000647.txt,slower_than_standard_success,False,False,128,126.73,6.22,55.24,128,6.22,True,10,1.0,True,10
dsgdb9nsd_033716,True,True,170,35.85,total_processing_time_footer,-345.2188115623,0.750781,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_033716.txt,True,208,21.45,total_processing_time_footer,-345.2193607827,0.750468,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_033716.txt,slower_than_standard_success,False,False,38,22.35,-14.4,-40.17,38,0.0,True,8,0.8,False,
dsgdb9nsd_000447,True,True,41,4.22,total_processing_time_footer,-320.6371415199,0.750262,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000447.txt,True,38,4.6,total_processing_time_footer,-320.6371392067,0.750266,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000447.txt,accelerated_standard_success,False,False,-3,-7.32,0.38,9.0,0,0.38,False,0,0.0,False,
dsgdb9nsd_003749,True,True,65,7.95,total_processing_time_footer,-354.6578548304,0.750587,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_003749.txt,True,124,10.54,total_processing_time_footer,-354.6941653117,0.750221,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_003749.txt,slower_than_standard_success,False,False,59,90.77,2.59,32.58,59,2.59,True,8,0.8,False,
dsgdb9nsd_004581,True,True,464,81.17,total_processing_time_footer,-340.7422940564,0.750155,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_004581.txt,True,1168,97.33,total_processing_time_footer,-340.7481723013,0.750245,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_004581.txt,slower_than_standard_success,False,False,704,151.72,16.16,19.91,704,16.16,True,10,1.0,True,10
dsgdb9nsd_005674,True,True,166,26.71,total_processing_time_footer,-379.1619581221,0.830151,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_005674.txt,True,100,9.51,total_processing_time_footer,-379.1618574908,0.754365,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_005674.txt,accelerated_standard_success,False,False,-66,-39.76,-17.2,-64.4,0,0.0,True,1,0.1,False,
dsgdb9nsd_002043,True,True,689,129.08,total_processing_time_footer,-271.9286170375,0.750152,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_002043.txt,True,1142,132.26,total_processing_time_footer,-271.9286261311,0.750151,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_002043.txt,slower_than_standard_success,False,False,453,65.75,3.18,2.46,453,3.18,False,0,0.0,False,
dsgdb9nsd_002916,True,True,45,7.17,total_processing_time_footer,-323.870258273,0.750434,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_002916.txt,True,87,10.55,total_processing_time_footer,-323.8702568481,0.750488,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_002916.txt,slower_than_standard_success,False,False,42,93.33,3.38,47.14,42,3.38,True,3,0.3,False,
dsgdb9nsd_016793,True,True,101,15.73,total_processing_time_footer,-412.3575397952,0.780872,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_016793.txt,True,59,7.37,total_processing_time_footer,-412.4040616379,0.750178,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_016793.txt,accelerated_standard_success,False,False,-42,-41.58,-8.36,-53.15,0,0.0,True,3,0.3,False,
dsgdb9nsd_000047,True,True,62,7.13,total_processing_time_footer,-156.0506869481,0.750207,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000047.txt,True,164,11.0,total_processing_time_footer,-156.0506879085,0.750207,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000047.txt,slower_than_standard_success,False,False,102,164.52,3.87,54.28,102,3.87,False,0,0.0,False,
dsgdb9nsd_000723,True,True,66,7.11,total_processing_time_footer,-294.2752434511,0.804017,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000723.txt,True,682,33.82,total_processing_time_footer,-294.4488623822,1.79187,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000723.txt,slower_than_standard_success,False,False,616,933.33,26.71,375.67,616,26.71,True,10,1.0,True,10
dsgdb9nsd_000291,True,True,76,12.77,total_processing_time_footer,-235.3264677147,0.75012,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000291.txt,True,41,6.29,total_processing_time_footer,-235.3264547564,0.750124,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000291.txt,accelerated_standard_success,False,False,-35,-46.05,-6.48,-50.74,0,0.0,False,0,0.0,False,
dsgdb9nsd_000520,True,True,69,8.85,total_processing_time_footer,-285.9479793698,0.754226,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000520.txt,True,90,7.92,total_processing_time_footer,-285.9716712807,0.750266,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000520.txt,slower_than_standard_success,False,False,21,30.43,-0.93,-10.51,21,0.0,True,5,0.5,False,
dsgdb9nsd_000695,True,True,857,103.08,total_processing_time_footer,-231.6873638936,0.750276,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000695.txt,True,220,18.75,total_processing_time_footer,-231.6873594725,0.75028,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000695.txt,accelerated_standard_success,False,False,-637,-74.33,-84.33,-81.81,0,0.0,False,0,0.0,False,
dsgdb9nsd_000656,True,True,341,40.56,total_processing_time_footer,-232.9117952972,0.757018,/Users/leodong/Downloads/Research/test_molecules/QM9_Data/dsgdb9nsd_000656.txt,True,136,12.18,total_processing_time_footer,-232.9945224807,0.750549,/Users/leodong/Downloads/Research/test_molecules/final_eval_medium_beta_restart_raw/mol_dsgdb9nsd_000656.txt,accelerated_standard_success,False,False,-205,-60.12,-28.38,-69.97,0,0.0,True,8,0.8,False,
